Название;Полное описание;Цена;Качество цены;Город, время;Ссылка
Infiniti G35, 2008;Infiniti G35, 20083.5 AT G35x Sport3.5 л (316 л.с.), бензин, АКПП, 4WD, 420 261 км;1 340 000 ₽;высокая цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/infiniti/g35/800175995.html
Lexus IS250, 2007;Lexus IS250, 20072.5 AT Premium2.5 л (208 л.с.), бензин, АКПП, задний, 198 096 км;1 355 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/lexus/is250/675998330.html
Mitsubishi Galant, 2007;Mitsubishi Galant, 20072.4 л (158 л.с.), бензин, АКПП, передний, 247 803 км;745 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/mitsubishi/galant/177214250.html
Infiniti EX35, 2008;Infiniti EX35, 20083.5 AT AWD Elite3.5 л (302 л.с.), бензин, АКПП, 4WD, 275 611 км;1 550 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/infiniti/ex35/54070184.html
Infiniti EX35, 2008;Infiniti EX35, 20083.5 AT AWD Elite3.5 л (302 л.с.), бензин, АКПП, 4WD, 215 460 км;1 345 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/infiniti/ex35/53630712.html
Toyota Corolla, 2002;Toyota Corolla, 20021.4 л (97 л.с.), бензин, механика, передний, 378 000 км от собственника;690 000 ₽;высокая цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/toyota/corolla/109540256.html
Chevrolet Niva, 2008;Chevrolet Niva, 20081.7 MT L1.7 л (80 л.с.), бензин, механика, 4WD, 226 000 км;369 000 ₽;хорошая цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/chevrolet/niva/439848104.html
Haima 7, 2013;Haima 7, 20132.0 MT GL2.0 л (150 л.с.), бензин, механика, передний, 184 000 км;769 000 ₽;без оценки; О м с к с е г о д н я ;https://auto.drom.ru/omsk/haima/7/53175028.html
Chevrolet Niva, 2018;Chevrolet Niva, 20181.7 MT L1.7 л (80 л.с.), бензин, механика, 4WD, 111 000 км;870 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/chevrolet/niva/530710549.html
Lifan Solano, 2011;Lifan Solano, 20111.6 MT Luxury1.6 л (106 л.с.), бензин, механика, передний, 156 000 км;359 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/lifan/solano/290372485.html
BMW X6, 2009;BMW X6, 2009xDrive 35i AT3.0 л (306 л.с.), бензин, АКПП, 4WD, 179 000 км от собственника;1 750 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/bmw/x6/47483129.html
Toyota Camry, 2019;Toyota Camry, 20192.5 AT Престиж Safety2.5 л (181 л.с.), бензин, АКПП, передний, 73 000 км от собственника;2 999 999 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/toyota/camry/134288203.html
Honda Accord, 2013;Honda Accord, 20132.4 AT Executive Navi2.4 л (180 л.с.), бензин, АКПП, передний, 253 000 км от собственника;1 999 999 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/honda/accord/158627419.html
BMW X1, 2011;BMW X1, 20112.0 л (150 л.с.), бензин, АКПП, задний, 181 550 км;1 389 990 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/bmw/x1/316022047.html
Лада Ларгус, 2014;Лада Ларгус, 20141.6 л (105 л.с.), бензин, механика, передний, 142 000 км;954 990 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/lada/largus/861198964.html
Toyota RAV4, 2010;Toyota RAV4, 20102.5 л (182 л.с.), бензин, автомат, 4WD, 190 000 км;1 814 990 ₽;без оценки; О м с к с е г о д н я ;https://auto.drom.ru/omsk/toyota/rav4/228511215.html
Chevrolet Cruze, 2010;Chevrolet Cruze, 20101.6 л (109 л.с.), бензин, АКПП, передний, 233 411 км;909 990 ₽;высокая цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/chevrolet/cruze/340406644.html
Toyota Passo, 2004;Toyota Passo, 20041.0 л (71 л.с.), бензин, АКПП, передний, 239 320 км;534 990 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/toyota/passo/389932784.html
Toyota bB, 2001;Toyota bB, 20011.3 л (88 л.с.), бензин, АКПП, передний, 258 000 км;674 990 ₽;высокая цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/toyota/bb/424494635.html
Toyota Corolla, 2022;Toyota Corolla, 20222.0 л (171 л.с.), бензин, автомат, передний, 22 433 км;3 394 990 ₽;без оценки; О м с к с е г о д н я ;https://auto.drom.ru/omsk/toyota/corolla/127149380.html
Infiniti G35, 2008;Infiniti G35, 20083.5 AT G35x Sport3.5 л (316 л.с.), бензин, АКПП, 4WD, 420 261 км;1 340 000 ₽;высокая цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/infiniti/g35/800175995.html
Lexus IS250, 2007;Lexus IS250, 20072.5 AT Premium2.5 л (208 л.с.), бензин, АКПП, задний, 198 096 км;1 355 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/lexus/is250/675998330.html
Mitsubishi Galant, 2007;Mitsubishi Galant, 20072.4 л (158 л.с.), бензин, АКПП, передний, 247 803 км;745 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/mitsubishi/galant/177214250.html
Infiniti EX35, 2008;Infiniti EX35, 20083.5 AT AWD Elite3.5 л (302 л.с.), бензин, АКПП, 4WD, 275 611 км;1 550 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/infiniti/ex35/54070184.html
Infiniti EX35, 2008;Infiniti EX35, 20083.5 AT AWD Elite3.5 л (302 л.с.), бензин, АКПП, 4WD, 215 460 км;1 345 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/infiniti/ex35/53630712.html
Toyota Corolla, 2002;Toyota Corolla, 20021.4 л (97 л.с.), бензин, механика, передний, 378 000 км от собственника;690 000 ₽;высокая цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/toyota/corolla/109540256.html
Chevrolet Niva, 2008;Chevrolet Niva, 20081.7 MT L1.7 л (80 л.с.), бензин, механика, 4WD, 226 000 км;369 000 ₽;хорошая цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/chevrolet/niva/439848104.html
Haima 7, 2013;Haima 7, 20132.0 MT GL2.0 л (150 л.с.), бензин, механика, передний, 184 000 км;769 000 ₽;без оценки; О м с к с е г о д н я ;https://auto.drom.ru/omsk/haima/7/53175028.html
Chevrolet Niva, 2018;Chevrolet Niva, 20181.7 MT L1.7 л (80 л.с.), бензин, механика, 4WD, 111 000 км;870 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/chevrolet/niva/530710549.html
Lifan Solano, 2011;Lifan Solano, 20111.6 MT Luxury1.6 л (106 л.с.), бензин, механика, передний, 156 000 км;359 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/lifan/solano/290372485.html
BMW X6, 2009;BMW X6, 2009xDrive 35i AT3.0 л (306 л.с.), бензин, АКПП, 4WD, 179 000 км от собственника;1 750 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/bmw/x6/47483129.html
Toyota Camry, 2019;Toyota Camry, 20192.5 AT Престиж Safety2.5 л (181 л.с.), бензин, АКПП, передний, 73 000 км от собственника;2 999 999 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/toyota/camry/134288203.html
Honda Accord, 2013;Honda Accord, 20132.4 AT Executive Navi2.4 л (180 л.с.), бензин, АКПП, передний, 253 000 км от собственника;1 999 999 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/honda/accord/158627419.html
BMW X1, 2011;BMW X1, 20112.0 л (150 л.с.), бензин, АКПП, задний, 181 550 км;1 389 990 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/bmw/x1/316022047.html
Лада Ларгус, 2014;Лада Ларгус, 20141.6 л (105 л.с.), бензин, механика, передний, 142 000 км;954 990 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/lada/largus/861198964.html
Toyota RAV4, 2010;Toyota RAV4, 20102.5 л (182 л.с.), бензин, автомат, 4WD, 190 000 км;1 814 990 ₽;без оценки; О м с к с е г о д н я ;https://auto.drom.ru/omsk/toyota/rav4/228511215.html
Chevrolet Cruze, 2010;Chevrolet Cruze, 20101.6 л (109 л.с.), бензин, АКПП, передний, 233 411 км;909 990 ₽;высокая цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/chevrolet/cruze/340406644.html
Toyota Passo, 2004;Toyota Passo, 20041.0 л (71 л.с.), бензин, АКПП, передний, 239 320 км;534 990 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/toyota/passo/389932784.html
Toyota bB, 2001;Toyota bB, 20011.3 л (88 л.с.), бензин, АКПП, передний, 258 000 км;674 990 ₽;высокая цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/toyota/bb/424494635.html
Toyota Corolla, 2022;Toyota Corolla, 20222.0 л (171 л.с.), бензин, автомат, передний, 22 433 км;3 394 990 ₽;без оценки; О м с к с е г о д н я ;https://auto.drom.ru/omsk/toyota/corolla/127149380.html
Infiniti G35, 2008;Infiniti G35, 20083.5 AT G35x Sport3.5 л (316 л.с.), бензин, АКПП, 4WD, 420 261 км;1 340 000 ₽;высокая цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/infiniti/g35/800175995.html
Lexus IS250, 2007;Lexus IS250, 20072.5 AT Premium2.5 л (208 л.с.), бензин, АКПП, задний, 198 096 км;1 355 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/lexus/is250/675998330.html
Mitsubishi Galant, 2007;Mitsubishi Galant, 20072.4 л (158 л.с.), бензин, АКПП, передний, 247 803 км;745 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/mitsubishi/galant/177214250.html
Infiniti EX35, 2008;Infiniti EX35, 20083.5 AT AWD Elite3.5 л (302 л.с.), бензин, АКПП, 4WD, 275 611 км;1 550 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/infiniti/ex35/54070184.html
Infiniti EX35, 2008;Infiniti EX35, 20083.5 AT AWD Elite3.5 л (302 л.с.), бензин, АКПП, 4WD, 215 460 км;1 345 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/infiniti/ex35/53630712.html
Toyota Corolla, 2002;Toyota Corolla, 20021.4 л (97 л.с.), бензин, механика, передний, 378 000 км от собственника;690 000 ₽;высокая цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/toyota/corolla/109540256.html
Chevrolet Niva, 2008;Chevrolet Niva, 20081.7 MT L1.7 л (80 л.с.), бензин, механика, 4WD, 226 000 км;369 000 ₽;хорошая цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/chevrolet/niva/439848104.html
Haima 7, 2013;Haima 7, 20132.0 MT GL2.0 л (150 л.с.), бензин, механика, передний, 184 000 км;769 000 ₽;без оценки; О м с к с е г о д н я ;https://auto.drom.ru/omsk/haima/7/53175028.html
Chevrolet Niva, 2018;Chevrolet Niva, 20181.7 MT L1.7 л (80 л.с.), бензин, механика, 4WD, 111 000 км;870 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/chevrolet/niva/530710549.html
Lifan Solano, 2011;Lifan Solano, 20111.6 MT Luxury1.6 л (106 л.с.), бензин, механика, передний, 156 000 км;359 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/lifan/solano/290372485.html
BMW X6, 2009;BMW X6, 2009xDrive 35i AT3.0 л (306 л.с.), бензин, АКПП, 4WD, 179 000 км от собственника;1 750 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/bmw/x6/47483129.html
Toyota Camry, 2019;Toyota Camry, 20192.5 AT Престиж Safety2.5 л (181 л.с.), бензин, АКПП, передний, 73 000 км от собственника;2 999 999 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/toyota/camry/134288203.html
Honda Accord, 2013;Honda Accord, 20132.4 AT Executive Navi2.4 л (180 л.с.), бензин, АКПП, передний, 253 000 км от собственника;1 999 999 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/honda/accord/158627419.html
BMW X1, 2011;BMW X1, 20112.0 л (150 л.с.), бензин, АКПП, задний, 181 550 км;1 389 990 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/bmw/x1/316022047.html
Лада Ларгус, 2014;Лада Ларгус, 20141.6 л (105 л.с.), бензин, механика, передний, 142 000 км;954 990 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/lada/largus/861198964.html
Toyota RAV4, 2010;Toyota RAV4, 20102.5 л (182 л.с.), бензин, автомат, 4WD, 190 000 км;1 814 990 ₽;без оценки; О м с к с е г о д н я ;https://auto.drom.ru/omsk/toyota/rav4/228511215.html
Chevrolet Cruze, 2010;Chevrolet Cruze, 20101.6 л (109 л.с.), бензин, АКПП, передний, 233 411 км;909 990 ₽;высокая цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/chevrolet/cruze/340406644.html
Toyota Passo, 2004;Toyota Passo, 20041.0 л (71 л.с.), бензин, АКПП, передний, 239 320 км;534 990 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/toyota/passo/389932784.html
Toyota bB, 2001;Toyota bB, 20011.3 л (88 л.с.), бензин, АКПП, передний, 258 000 км;674 990 ₽;высокая цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/toyota/bb/424494635.html
Toyota Corolla, 2022;Toyota Corolla, 20222.0 л (171 л.с.), бензин, автомат, передний, 22 433 км;3 394 990 ₽;без оценки; О м с к с е г о д н я ;https://auto.drom.ru/omsk/toyota/corolla/127149380.html
Infiniti G35, 2008;Infiniti G35, 20083.5 AT G35x Sport3.5 л (316 л.с.), бензин, АКПП, 4WD, 420 261 км;1 340 000 ₽;высокая цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/infiniti/g35/800175995.html
Lexus IS250, 2007;Lexus IS250, 20072.5 AT Premium2.5 л (208 л.с.), бензин, АКПП, задний, 198 096 км;1 355 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/lexus/is250/675998330.html
Mitsubishi Galant, 2007;Mitsubishi Galant, 20072.4 л (158 л.с.), бензин, АКПП, передний, 247 803 км;745 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/mitsubishi/galant/177214250.html
Infiniti EX35, 2008;Infiniti EX35, 20083.5 AT AWD Elite3.5 л (302 л.с.), бензин, АКПП, 4WD, 275 611 км;1 550 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/infiniti/ex35/54070184.html
Infiniti EX35, 2008;Infiniti EX35, 20083.5 AT AWD Elite3.5 л (302 л.с.), бензин, АКПП, 4WD, 215 460 км;1 345 000 ₽;нормальная цена; О м с к с е г о д н я ;https://auto.drom.ru/omsk/infiniti/ex35/53630712.html
